Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
10934,0.42,Ideal,E,VS2,62.4,55.0,4.83,4.79,3.0,1024
5896,1.0,Good,H,SI2,63.9,58.0,6.36,6.28,4.03,3528
3182,0.33,Ideal,D,VS2,62.1,55.0,4.46,4.43,2.76,1002
21904,1.36,Premium,I,VS1,62.0,59.0,7.1,7.06,4.39,7592
15378,0.33,Ideal,F,VVS1,61.9,54.0,4.42,4.46,2.75,880
20104,0.56,Ideal,G,VS2,62.1,56.0,5.29,5.31,3.29,1580
18436,1.04,Very Good,F,VS2,61.0,60.0,6.54,6.48,3.97,6361
21141,1.54,Good,I,VS1,63.6,60.0,7.33,7.3,4.65,10349
18373,0.56,Ideal,G,IF,62.0,54.0,5.3,5.32,3.29,2321
17854,2.05,Very Good,I,SI2,59.8,56.0,8.32,8.41,5.0,12839
11078,0.23,Very Good,G,VVS1,60.2,59.0,4.0,4.01,2.41,415
15388,0.4,Very Good,E,SI1,61.4,58.0,4.77,4.81,2.94,687
11306,0.9,Good,H,SI1,58.9,61.0,6.27,6.36,3.72,3734
15419,0.32,Premium,G,VVS2,61.7,59.0,4.37,4.41,2.71,730
1173,1.24,Premium,H,VS2,61.2,59.0,6.89,6.93,4.23,6850
15258,1.51,Very Good,F,SI1,62.1,55.0,7.29,7.37,4.55,11302
12683,0.3,Premium,G,VS1,61.8,59.0,4.34,4.37,2.69,605
24763,0.52,Premium,F,SI1,62.0,59.0,5.18,5.15,3.2,1112
24148,1.0,Very Good,D,VS2,63.4,57.0,6.36,6.32,4.02,6115
22229,0.33,Ideal,D,VS2,,55.0,4.5,4.52,2.72,667
26642,0.54,Premium,H,VVS2,60.6,60.0,5.31,5.29,3.21,1786
5122,1.24,Ideal,I,SI1,62.4,57.0,6.89,6.87,4.29,5976
10739,0.31,Ideal,G,IF,62.2,55.0,4.35,4.4,2.72,891
6516,0.9,Ideal,E,SI2,61.7,56.0,6.21,6.26,3.85,4034
14797,1.01,Ideal,G,VS2,62.7,56.0,6.43,6.39,4.02,6108
21553,1.26,Ideal,H,SI2,61.0,56.0,6.99,6.95,4.25,5998
12271,0.73,Premium,E,VS1,60.9,61.0,5.81,5.79,3.53,3311
16192,0.35,Very Good,I,VS2,62.6,54.0,4.5,4.53,2.82,527
371,0.3,Good,F,IF,60.0,63.0,4.3,4.36,2.6,742
21833,0.55,Very Good,F,SI1,59.5,61.0,5.28,5.41,3.18,1410
729,1.03,Premium,D,VVS2,,59.0,6.48,6.43,3.98,8623
18731,1.23,Very Good,G,VVS1,61.2,55.8,6.9,6.94,4.23,11081
1782,0.54,Ideal,E,VS2,62.4,56.0,5.23,5.19,3.25,1765
16582,1.11,Premium,G,SI1,60.9,59.0,6.69,6.64,4.07,4096
6718,1.11,Very Good,H,SI1,63.2,58.0,6.53,6.61,4.15,5192
26935,1.75,Ideal,I,SI1,61.8,56.0,7.67,7.71,4.75,13393
21819,0.52,Ideal,F,VS1,61.2,57.0,5.16,5.2,3.17,1778
19502,0.31,Ideal,G,VVS2,62.6,57.0,4.33,4.29,2.7,907
3503,0.42,Ideal,I,VS1,62.0,55.0,4.85,4.83,3.0,992
14457,2.3,Ideal,H,SI2,62.6,57.0,8.4,8.35,5.25,14215
22498,2.19,Very Good,I,SI1,60.7,60.0,8.46,8.4,5.12,16397
1995,0.52,Ideal,D,VS2,62.3,54.0,5.14,5.19,3.22,1822
3196,1.54,Premium,G,SI2,61.6,58.0,7.45,7.3,4.57,7287
14252,0.7,Premium,J,VS1,59.6,62.0,5.77,5.7,3.42,1953
23325,0.31,Ideal,D,SI1,61.5,56.0,4.33,4.35,2.67,571
16732,0.52,Ideal,D,VS1,60.9,56.0,5.21,5.17,3.16,1835
13541,0.33,Fair,F,VVS2,65.7,54.0,4.37,4.3,2.85,693
20938,0.33,Ideal,H,IF,61.4,54.0,4.47,4.49,2.75,838
26952,1.14,Ideal,E,VVS2,61.6,57.0,6.68,6.73,4.13,11206
8192,0.92,Premium,D,SI1,62.5,59.0,6.24,6.14,3.87,5028
9641,0.31,Ideal,H,IF,62.1,54.0,4.37,4.33,2.7,1046
9077,1.12,Ideal,F,SI1,61.7,56.0,6.64,6.68,4.11,7812
12234,2.03,Good,D,SI2,63.1,59.0,8.12,7.99,5.08,13109
6266,1.1,Ideal,E,SI2,61.6,56.0,6.66,6.63,4.09,5359
7182,0.54,Ideal,E,VS2,61.6,56.0,5.24,5.28,3.24,1774
25311,0.7,Very Good,E,VS2,61.7,60.0,5.67,5.7,3.51,2513
